actorName,movieCount,ratingSum,normalizedMovieRank,googleHits,normalizedGoogleRank,normalizedRating
Sanjay Dutt,43,1740,3.002019882,1560000,5.021029949,5.002639771
Parineeti Chopra,5,310,5.108699799,737000,2.897870064,4.99323988
Madhuri Dixit,7,310,3.375780106,1300000,4.350279808,4.833380222
Preity Zinta,16,880,4.423910141,877000,3.259040117,4.808810234
Govinda,17,680,2.956520081,1430000,4.685649872,4.785570145
Emraan Hashmi,26,1400,4.311039925,861000,3.217760086,4.720950127
Bipasha Basu,34,1570,3.560739994,1050000,3.705339909,4.571219921
Uday Chopra,7,450,5.332300186,311000,1.798879981,4.494339943
Aditya Roy Kapoor,4,330,7.11413002,0,0,4.484620094
Ritesh Deshmukh,20,1270,5.255430222,312000,1.801460028,4.452000141
Rishi Kapoor,19,880,3.574369907,934000,3.406080008,4.408430099
Kangana Ranaut,18,850,3.663039923,867000,3.233239889,4.360459805
Dia Mirza,15,400,1.652169943,1640000,5.22740984,4.350940228
Amrish Puri,11,730,5.535570145,125000,1.319039941,4.336709976
Amrita Rao,12,650,4.34239006,510000,2.312259912,4.222750187
Lara Dutta,17,810,3.704600096,737000,2.897870064,4.193009853
Om Puri,32,1100,2.40625,1230000,4.169700146,4.177889824
Kiron Kher,10,650,5.402170181,25100,1.061319947,4.113800049
Mallika Sherawat,12,570,3.690220118,669000,2.722440004,4.084829807
Sonu Sood,6,260,3.28260994,824000,3.122309923,4.080420017
Nana Patekar,14,840,4.913040161,173000,1.442870021,4.052490234
Vinod Khanna,9,520,4.695650101,243000,1.623460054,4.031509876
Kalki Koechlin,6,320,4.26086998,380000,1.976889968,3.985150099
Rani Mukerji,27,1410,4.152170181,386000,1.992359996,3.932019949
Rajkummar Rao,4,290,6.13586998,0,0,3.927079916
Tusshar Kapoor,19,1070,4.552629948,165000,1.422230005,3.835319996
Arjun Rampal,24,1140,3.690220118,476000,2.224539995,3.801059961
Paresh Rawal,30,1660,4.456520081,176000,1.450610042,3.796720028
Supriya Pathak,5,350,5.891300201,0,0,3.787699938
Nawazuddin Siddiqui,5,350,5.891300201,0,0,3.787699938
Naseeruddin Shah,19,1010,4.243710041,240000,1.615720034,3.769530058
Randeep Hooda,14,700,3.934779882,339000,1.871109962,3.739020109
Jaya Bhaduri,6,340,4.586959839,70400,1.178189993,3.715790033
Karisma Kapoor,6,150,1.48913002,1260000,4.247089863,3.699310064
Sharman Joshi,15,820,4.391300201,129000,1.329360008,3.690439939
Boman Irani,19,880,3.574369907,416000,2.069760084,3.646820068
Satish Shah,11,510,3.579050064,385000,1.989779949,3.603909969
Arshad Warsi,22,1100,3.934779882,217000,1.556380033,3.559639931
Raj Babbar,12,590,3.85326004,239000,1.613139987,3.545530081
Shilpa Shetty,9,270,1.97826004,960000,3.473160028,3.536989927
Vivek Oberoi,18,740,3.065220118,504000,2.296780109,3.486030102
Anupam Kher,36,1310,2.60326004,657000,2.691479921,3.447700024
Sameera Reddy,6,260,3.28260994,370000,1.951089978,3.412909985
Sunny Deol,25,860,2.408699989,687000,2.76887989,3.380919933
Shraddha Kapoor,4,250,5.15760994,0,0,3.369539976
Akshaye Khanna,14,690,3.864909887,110000,1.280339956,3.362499952
Manish Chaudhary,6,370,5.076089859,0,0,3.323080063
Sunil Shetty,42,1530,2.607140064,560000,2.441250086,3.307290077
Sohail Khan,13,400,2.053509951,764000,2.967519999,3.291699886
Esha Deol,11,400,2.600790024,539000,2.387069941,3.272799969
Pavan Malhotra,4,240,4.913040161,0,0,3.230159998
Sonali Kulkarni,8,340,3.201090097,249000,1.638929963,3.188539982
Rimi Sen,8,340,3.201090097,247000,1.633769989,3.185600042
Sushmita Sen,15,520,2.434779882,534000,2.374170065,3.170830011
Gracy Singh,9,390,3.28260994,204000,1.522840023,3.168839931
Kunal Khemu,8,370,3.567929983,85100,1.216109991,3.156640053
Juhi Chawla,13,460,2.505019903,485000,2.247760057,3.138819933
Vinay Pathak,13,590,3.483279943,96200,1.244740009,3.124710083
Dharmendra,8,280,2.46739006,473000,2.216799974,3.099730015
Mohammed Zeeshan Ayyub,4,230,4.668479919,0,0,3.090770006
Ranvir Shorey,14,630,3.445650101,68800,1.174059987,3.062979937
Genelia D'Souza,6,340,4.586959839,0,0,3.044310093
Isha Koppikar,10,400,2.956520081,234000,1.600239992,3.027100086
Soha Ali Khan,6,170,1.815219998,667000,2.717279911,3.013269901
Johnny Lever,7,210,1.97826004,584000,2.50316,2.984159946
Ayesha Takia,16,480,1.97826004,570000,2.467040062,2.963579893
Tia Bajpai,4,220,4.423910141,0,0,2.951390028
Nasser,4,220,4.423910141,0,0,2.951390028
Saurabh Shukla,10,420,3.152169943,102000,1.259709954,2.94453001
Konkona Sen Sharma,14,570,3.026400089,148000,1.378379941,2.940479994
Ameesha Patel,20,790,2.90760994,193000,1.49447,2.938940048
Zayed Khan,14,450,2.187890053,462000,2.188430071,2.924259901
Neha Dhupia,17,550,2.208440065,452000,2.162630081,2.921269894
Irrfan Khan,21,780,2.677020073,268000,1.687950015,2.917789936
Revathy,5,270,4.326089859,0,0,2.895629883
Girish Karnad,5,270,4.326089859,0,0,2.895629883
Fardeen Khan,17,660,2.841429949,180000,1.46092999,2.882110119
Mahesh Manjrekar,12,500,3.119570017,57800,1.145679951,2.860960007
Shakti Kapoor,13,370,1.827759981,549000,2.41286993,2.846930027
Shiney Ahuja,9,350,2.847830057,149000,1.380959988,2.84017992
Lillete Dubey,7,370,4.214290142,0,0,2.831909895
Shreyas Talpade,12,480,2.956520081,84800,1.215330005,2.807729959
Minissha Lamba,10,340,2.369570017,310000,1.796300054,2.804320097
Jimmy Shergill,20,740,2.663039923,192000,1.491889954,2.798089981
Manisha Koirala,15,460,2.043479919,430000,2.105870008,2.794909954
Atul Kulkarni,8,310,2.83423996,109000,1.277760029,2.77361989
Amrita Arora,10,350,2.46739006,238000,1.61056006,2.754209995
Neil Nitin Mukesh,8,290,2.589669943,184000,1.471250057,2.744509935
Rajat Kapoor,11,370,2.333990097,278000,1.713750005,2.736989975
Aftab Shivdasani,22,830,2.734189987,117000,1.298400044,2.728359938
Ashmit Patel,6,230,2.793479919,92500,1.235200047,2.726130009
Dimple Kapadia,11,370,2.333990097,267000,1.685369968,2.72081995
Urmila Matondkar,9,300,2.304349899,262000,1.672469974,2.696579933
Danny Denzongpa,4,200,3.934779882,0,0,2.672620058
Ahsaas Channa,4,200,3.934779882,0,0,2.672620058
Prem Chopra,9,210,1.326089978,610000,2.570230007,2.650700092
Sushant Singh,9,240,1.652169943,471000,2.211649895,2.632169962
Rahul Dev,9,210,1.326089978,595000,2.531539917,2.628639936
Kay Kay Menon,22,750,2.37845993,185000,1.473829985,2.6256001
Darshan Jariwala,7,270,2.816770077,14300,1.033460021,2.624429941
Antara Mali,6,190,2.141299963,271000,1.695690036,2.61687994
Jackie Shroff,25,740,1.939129949,349000,1.896909952,2.616339922
Vrajesh Hirjee,8,300,2.711960077,12300,1.028300047,2.561749935
Vicky Ahuja,5,240,3.73913002,0,0,2.56111002
Sandhya Mridul,5,240,3.73913002,0,0,2.56111002
Arbaaz Khan,17,530,2.093349934,235000,1.602820039,2.536619902
Prachi Desai,4,190,3.690220118,0,0,2.533230066
Ali Zafar,4,190,3.690220118,0,0,2.533230066
Udita Goswami,9,280,2.086960077,229000,1.587339997,2.524159908
Rana Jung Bahadur,5,180,2.565220118,38100,1.094859958,2.5160501
Abhay Deol,11,350,2.156130075,193000,1.49447,2.51064992
Neetu Chandra,8,260,2.222830057,165000,1.422230005,2.507499933
Sanjay Mishra,6,160,1.652169943,377000,1.969149947,2.493969917
Priyanshu Chatterjee,7,250,2.537270069,24500,1.059769988,2.480129957
Raveena Tandon,15,340,1.26086998,509000,2.309679985,2.465029955
Alok Nath,5,230,3.543479919,0,0,2.449599981
Mahie Gill,7,230,2.257760048,111000,1.282920003,2.448009968
Sharat Saxena,10,350,2.46739006,28100,1.069059968,2.445600033
Mithun Chakraborty,23,720,2.105859995,160000,1.40933001,2.433480024
Bobby Deol,24,710,1.9375,221000,1.566699982,2.427220106
Tinnu Anand,11,380,2.422919989,14500,1.033980012,2.400259972
Manjari Phadnis,4,180,3.445650101,0,0,2.393850088
Kunal Kapoor,4,180,3.445650101,0,0,2.393850088
Ayub Khan,4,180,3.445650101,0,0,2.393850088
Kashmira Shah,4,180,3.445650101,0,0,2.393850088
Deepak Dobriyal,7,240,2.397520065,13500,1.031399965,2.384310007
Rajpal Yadav,17,540,2.150899887,105000,1.267449975,2.378279924
Divya Dutta,16,380,1.366850019,408000,2.049119949,2.376929998
Rajat Bedi,9,300,2.304349899,34700,1.086089969,2.362380028
Rahul Bose,9,230,1.543480039,302000,1.775660038,2.321749926
Parvin Dabas,10,330,2.27173996,17900,1.042750001,2.31908989
Asrani,13,380,1.903010011,157000,1.40158999,2.313460112
Raghuvir Yadav,7,230,2.257760048,17300,1.041200042,2.310250044
Avtar Gill,10,320,2.173909903,46700,1.117040038,2.305680037
Aashish Chaudhary,9,290,2.195650101,28900,1.071120024,2.29189992
